Sample	Assigned_Zone	Assigned_CellType	chip
SRR2967608	CP	neuron	Wpc12 Chip1
SRR2967609	iSVZ	neuron	Wpc12 Chip1
SRR2967610	iSVZ	neuron	Wpc12 Chip1
SRR2967611	VZ	aRG	Wpc12 Chip1
SRR2967612	iSVZ	neuron	Wpc12 Chip1
SRR2967613	oSVZ	neuron	Wpc12 Chip1
SRR2967614	iSVZ	neuron	Wpc12 Chip1
SRR2967615	oSVZ	neuron	Wpc12 Chip1
SRR2967616	iSVZ	neuron	Wpc12 Chip1
SRR2967617	iSVZ	neuron	Wpc12 Chip1
SRR2967618	iSVZ	neuron	Wpc12 Chip1
SRR2967619	iSVZ	aRG	Wpc12 Chip1
SRR2967620	iSVZ	neuron	Wpc12 Chip1
SRR2967621	VZ	aRG	Wpc12 Chip1
SRR2967622	oSVZ	neuron	Wpc12 Chip1
SRR2967623	iSVZ	neuron	Wpc12 Chip1
SRR2967624	iSVZ	neuron	Wpc12 Chip1
SRR2967625	oSVZ	neuron	Wpc12 Chip1
SRR2967626	oSVZ	neuron	Wpc12 Chip1
SRR2967627	VZ	aRG	Wpc12 Chip1
SRR2967629	iSVZ	aRG	Wpc12 Chip1
SRR2967630	iSVZ	aRG	Wpc12 Chip1
SRR2967631	iSVZ	neuron	Wpc12 Chip1
SRR2967632	iSVZ	neuron	Wpc12 Chip1
SRR2967633	iSVZ	neuron	Wpc12 Chip1
SRR2967634	oSVZ	neuron	Wpc12 Chip1
SRR2967635	iSVZ	aRG	Wpc12 Chip1
SRR2967636	oSVZ	neuron	Wpc12 Chip1
SRR2967637	iSVZ	neuron	Wpc12 Chip1
SRR2967638	oSVZ	neuron	Wpc12 Chip1
SRR2967639	VZ	aRG	Wpc12 Chip1
SRR2967640	VZ	aRG	Wpc12 Chip1
SRR2967641	CP	neuron	Wpc12 Chip1
SRR2967642	iSVZ	neuron	Wpc12 Chip1
SRR2967643	oSVZ	neuron	Wpc12 Chip1
SRR2967644	VZ	aRG	Wpc12 Chip1
SRR2967646	VZ	aRG	Wpc12 Chip1
SRR2967647	oSVZ	neuron	Wpc12 Chip1
SRR2967648	VZ	aRG	Wpc12 Chip1
SRR2967649	VZ	aRG	Wpc12 Chip1
SRR2967650	oSVZ	neuron	Wpc12 Chip1
SRR2967651	oSVZ	neuron	Wpc12 Chip1
SRR2967652	iSVZ	neuron	Wpc12 Chip1
SRR2967653	oSVZ	neuron	Wpc12 Chip1
SRR2967654	oSVZ	neuron	Wpc12 Chip1
SRR2967655	oSVZ	neuron	Wpc12 Chip1
SRR2967656	oSVZ	neuron	Wpc12 Chip1
SRR2967657	VZ	aRG	Wpc12 Chip1
SRR2967658	oSVZ	neuron	Wpc12 Chip1
SRR2967659	iSVZ	neuron	Wpc12 Chip1
SRR2967660	VZ	aRG	Wpc12 Chip1
SRR2967661	iSVZ	aRG	Wpc12 Chip1
SRR2967662	VZ	aRG	Wpc12 Chip1
SRR2967663	iSVZ	aRG	Wpc12 Chip1
SRR2967664	oSVZ	neuron	Wpc12 Chip1
SRR2967665	iSVZ	neuron	Wpc12 Chip1
SRR2967666	VZ	aRG	Wpc12 Chip1
SRR2967667	iSVZ	neuron	Wpc12 Chip1
SRR2967668	oSVZ	neuron	Wpc12 Chip1
SRR2967669	oSVZ	neuron	Wpc12 Chip1
SRR2967670	iSVZ	neuron	Wpc12 Chip1
SRR2967671	oSVZ	neuron	Wpc12 Chip1
SRR2967672	iSVZ	neuron	Wpc12 Chip1
SRR2967673	iSVZ	neuron	Wpc12 Chip1
SRR2967674	oSVZ	neuron	Wpc12 Chip1
SRR2967675	VZ	aRG	Wpc12 Chip1
SRR2967676	oSVZ	neuron	Wpc12 Chip1
SRR2967677	VZ	aRG	Wpc12 Chip1
SRR2967678	VZ	aRG	Wpc12 Chip1
SRR2967679	oSVZ	neuron	Wpc12 Chip1
SRR2967680	iSVZ	neuron	Wpc12 Chip1
SRR2967681	iSVZ	neuron	Wpc12 Chip1
SRR2967682	iSVZ	neuron	Wpc12 Chip1
SRR2967683	iSVZ	aRG	Wpc12 Chip1
SRR2967684	oSVZ	neuron	Wpc12 Chip1
SRR2967685	oSVZ	neuron	Wpc12 Chip1
SRR2967686	CP	neuron	Wpc12 Chip1
SRR2967687	CP	neuron	Wpc12 Chip1
SRR2967688	VZ	aRG	Wpc12 Chip1
SRR2967689	oSVZ	aRG	Wpc12 Chip2
SRR2967690	CP	neuron	Wpc12 Chip2
SRR2967691	CP	neuron	Wpc12 Chip2
SRR2967692	VZ	aRG	Wpc12 Chip2
SRR2967693	oSVZ	neuron	Wpc12 Chip2
SRR2967694	iSVZ	neuron	Wpc12 Chip2
SRR2967695	iSVZ	neuron	Wpc12 Chip2
SRR2967697	oSVZ	neuron	Wpc12 Chip2
SRR2967698	iSVZ	neuron	Wpc12 Chip2
SRR2967699	VZ	aRG	Wpc12 Chip2
SRR2967700	iSVZ	neuron	Wpc12 Chip2
SRR2967701	oSVZ	neuron	Wpc12 Chip2
SRR2967702	CP	neuron	Wpc12 Chip2
SRR2967703	oSVZ	neuron	Wpc12 Chip2
SRR2967705	oSVZ	neuron	Wpc12 Chip2
SRR2967706	iSVZ	neuron	Wpc12 Chip2
SRR2967707	oSVZ	neuron	Wpc12 Chip2
SRR2967708	iSVZ	aRG	Wpc12 Chip2
SRR2967709	iSVZ	neuron	Wpc12 Chip2
SRR2967710	iSVZ	aRG	Wpc12 Chip2
SRR2967711	iSVZ	neuron	Wpc12 Chip2
SRR2967712	iSVZ	neuron	Wpc12 Chip2
SRR2967713	oSVZ	neuron	Wpc12 Chip2
SRR2967714	iSVZ	aRG	Wpc12 Chip2
SRR2967715	VZ	aRG	Wpc12 Chip2
SRR2967716	CP	neuron	Wpc12 Chip2
SRR2967717	oSVZ	neuron	Wpc12 Chip2
SRR2967718	oSVZ	aRG	Wpc12 Chip2
SRR2967719	iSVZ	neuron	Wpc12 Chip2
SRR2967720	oSVZ	neuron	Wpc12 Chip2
SRR2967721	oSVZ	neuron	Wpc12 Chip2
SRR2967722	VZ	aRG	Wpc12 Chip2
SRR2967723	CP	neuron	Wpc12 Chip2
SRR2967724	VZ	aRG	Wpc12 Chip2
SRR2967726	CP	neuron	Wpc12 Chip2
SRR2967727	iSVZ	neuron	Wpc12 Chip2
SRR2967728	iSVZ	aRG	Wpc12 Chip2
SRR2967729	iSVZ	neuron	Wpc12 Chip2
SRR2967730	oSVZ	neuron	Wpc12 Chip2
