PC1 cor,PC1 anti,PC2 cor,PC2 anti,PC3 anti,PC2 rg cor,PC1 rg cor,PC4 anti,PC2 rg anti
ANXA5,ABRACL,AKAP12,ACMSD,ATP1A2,ATP1A2,ASPM,ANLN,ACLY
AURKB,AMER2,ARL6IP5,APOL4,ATP1B2,C1orf61,AURKB,ASPM,ACOT7
AXL,AUTS2,CADM2,ARL4D,CDCA7,CREB5,BUB1,AURKA,ARL4D
BIRC5,BCL11B,CDH6,C1orf61,DLG2,DOK5,CCNB2,BIRC5,ASCL1
KNL1,CDH6,CDH7,CCND2,DMD,FABP7,CDC25C,BUB1,ATCAY
CD99,CNTNAP2,SV2A,CHD7,DOK5,FAM107A,CDCA8,BUB1B,CADPS
CD99,CRMP1,CNTN1,CHRNB4,DPP10,LIX1,CDK1,CASC5,CLVS1
CASC5,CTTNBP2,DAB1,CNR1,EEPD1,PON2,CKAP2,CCNB1,CORO1C
CDK1,CXADR,DACT1,CRB1,ETV5,PSAT1,CKAP5,CCNB2,CRB1
CENPF,DCC,DFNA5,CUX2,FAM107A,PTPRZ1,DLGAP5,CCNF,DCX
CENPK,DCX,DPP10,DPY19L1,FAM84B,SAT1,HMGB2,CDC20,DHX29
CKAP2L,GAP43,EFNA5,EML6,FAT3,SEMA5A,KNSTRN,CDCA2,ELAVL2
CKS2,GPM6A,ELMOD1,ENC1,FGF12,SLC1A3,MELK,CDCA3,ELAVL4
CREB5,HES1,FAT3,EPHA3,GARNL3,SOX9,MIS18BP1,CDCA8,EOMES
SLC24A2,VIM,FGF12,EZR,PALS1,SPARC,MKI67,CENPE,GABARAPL2
DOK5,KIAA1598,SNCA,FABP7,HES1,FOS,NDC80,CHEK2,GLCE
ETV5,KIDINS220,FXYD6,FOXP2,PARD3,,PBK,DEPDC1,GPRC5B
FAM107A,KIF23,GAS7,FRMD4B,KIAA1217,,PTTG1,DLGAP5,H3F3A
PIMREG,LRRC7,GRIK3,HES6,LIX1,,TPX2,GAS2L3,H3-3B
FANCD2,MEF2C,GUCY1A1,HUNK,LMO3,,UBE2C,H2AFX,H3F3C
GLI3,MLLT11,GUCY1B1,INSM1,LMO7,,FOSL2,HIST1H3C,ENSG00000185072
GRIA2,MLLT3,JPH4,LDLRAD4,LRP1B,,,HJURP,HES6
HMGB2,MYT1L,KAZN,LEPR,LRP4,,,HMMR,HMGB3
ID4,NBEA,ADCY1,LHX9,MEF2C,,,INCENP,HN1
KIAA0101,NELL2,LMO3,MEIS2,MOB3B,,,KIF11,ENSG00000133123
KIF5A,NEUROD6,LMO7,MN1,NAALAD2,,,KIF15,LRRC16A
LIX1,NRXN1,LRP1B,NHLH1,CRB2,,,KIF18A,ENSG00000156971
SPTAN1,PDE1A,LRRC1,NHSL1,NCALD,,,KIF18B,LZTS1
MFAP2,PHACTR3,LRRTM4,NRP1,NPAS3,,,KIF20A,MAP4K4
MIS18BP1,PPP3CA,LSAMP,PAG1,PAPPA2,,,KIF20B,MFNG
NDC80,PTPRD,VAMP2,PGAP1,PDPN,,,KIF2C,NEUROD1
NUSAP1,RBFOX1,SYN3,PGK1,PHACTR2,,,KIF4A,NEUROD4
SYT1,RTN1,NBEA,PLXNA2,PLEKHA5,,,KNSTRN,NEUROD6
PHGDH,RUNX1T1,LRRTM4,PLXNA4,PTN,,,MAD2L1,NHLH1
PON2,SCG3,NDFIP1,POU3F2,QKI,,,NCAPG,NRP1
PRC1,SERINC5,NIN,PPP1R17,RBPJ,,,NDC80,PFDN2
PTN,SLA,NPR3,PRDX1,S1PR1,,,NEK2,PHLDB2
PTTG1,DACH1,NRCAM,PTCHD2,PROM1,,,PBK,PLXNA2
RRM2,SOX2,GRM3,RASGEF1B,SEMA5A,,,PIF1,PRDX1
SFRP1,SOX4,PEG3,RND3,SLC1A3,,,PLK1,PTPRS
SLC1A3,MELK,PLXDC2,ROBO2,SLC35F2,,,PSRC1,RASGEF1B
SMC2,STMN2,CLTA,SEMA3C,SLN,,,RACGAP1,RBP1
SMC4,PAX6,STX1A,SORBS2,SORCS1,,,SGOL2,RND3
SNAP25,TAGLN3,SNCA,SSTR2,SOX9,,,SPAG5,SCG3
SOX9,TBR1,SPOCK1,ST6GAL2,SPARC,,,TACC3,SLC38A1
SPC24,TMSB10,PPP3CA,TCF4,TKTL1,,,TOP2A,SOX11
TFAP2C,TUBB3,ST18,THBS1,TOX,,,TPX2,SOX4
UBE2C,XPR1,SYN3,UNC5D,TRIP6,,,TROAP,SSTR2
GRIK3,ZBTB18,TBCB,ZNF286B,VEPH1,,,TTK,STMN1
ZFHX4,ZEB2,CLTB,ZNF286B,ZFP36L1,,,UBE2C,TAGLN3
