sample_id,group
SRR2967763,N3
SRR2967681,N3
SRR2967652,N3
SRR2967723,N3
SRR2967634,N3
SRR2967759,N3
SRR2967732,N3
SRR2967617,N3
SRR2967659,N3
SRR2967632,N3
SRR2967614,N3
SRR2967631,N3
SRR2967738,N3
SRR2967676,N3
SRR2967641,N3
SRR2967643,N3
SRR2967650,N3
SRR2967615,N3
SRR2967616,N3
SRR2967713,N3
SRR2967705,N3
SRR2967709,N3
SRR2967721,N3
SRR2967612,N3
SRR2967712,N3
SRR2967762,N3
SRR2967700,N3
SRR2967765,N3
SRR2967734,N3
SRR2967625,N3
SRR2967741,N3
SRR2967620,N3
SRR2967633,N3
SRR2967706,N3
SRR2967685,N3
SRR2967754,N3
SRR2967655,N3
SRR2967618,N3
SRR2967626,N3
SRR2967701,N3
SRR2967756,N3
SRR2967698,N3
SRR2967624,N3
SRR2967673,N3
SRR2967693,N3
SRR2967770,N3
SRR2967613,N3
SRR2967695,N3
SRR2967744,N3
SRR2967718,N3
SRR2967719,N3
SRR2967647,N3
SRR2967665,N3
SRR2967730,N3
SRR2967750,N3
SRR2967623,N3
SRR2967768,N3
SRR2967637,N3
SRR2967682,N3
SRR2967799,N3
SRR2967803,N3
SRR2967813,N3
SRR2967824,N3
SRR2967791,N3
SRR2967830,N3
SRR2967792,N3
SRR2967789,N3
SRR2967811,N3
SRR2967815,N3
SRR2967821,N3
SRR2967777,N3
SRR2967779,N3
SRR2967797,N3
SRR2967832,N3
SRR2967822,N3
SRR2967775,N3
SRR2967831,N3
SRR2967793,N3
SRR2967827,N3
SRR2967782,N3
SRR2967784,N3
SRR2967774,N3
SRR2967828,N3
SRR2967748,N3
SRR2967680,N2
SRR2967608,N2
SRR2967609,N2
SRR2967691,N2
SRR2967727,N2
SRR2967726,N2
SRR2967737,N2
SRR2967753,N1
SRR2967758,N1
SRR2967729,N1
SRR2967638,N1
SRR2967658,N1
SRR2967654,N1
SRR2967674,N1
SRR2967664,N1
SRR2967642,N1
SRR2967656,N1
SRR2967667,N1
SRR2967668,N1
SRR2967766,N1
SRR2967767,N1
SRR2967720,N1
SRR2967697,N1
SRR2967751,N1
SRR2967690,N1
SRR2967747,N1
SRR2967707,N1
SRR2967752,N1
SRR2967717,N1
SRR2967651,N1
SRR2967686,N1
SRR2967610,N1
SRR2967771,N1
SRR2967687,N1
SRR2967703,N1
SRR2967711,N1
SRR2967653,N1
SRR2967749,N1
SRR2967755,N1
SRR2967672,N1
SRR2967622,N1
SRR2967716,N1
SRR2967684,N1
SRR2967694,N1
SRR2967745,N1
SRR2967679,N1
SRR2967702,N1
SRR2967636,N1
SRR2967669,N1
SRR2967826,N1
SRR2967829,N1
SRR2967807,N1
SRR2967804,N1
SRR2967818,N1
SRR2967786,N1
SRR2967833,N1
SRR2967773,N1
SRR2967798,N1
SRR2967819,N1
SRR2967796,N1
SRR2967800,N1
SRR2967805,N1
SRR2967806,N1
SRR2967814,N1
SRR2967780,N1
SRR2967817,N1
SRR2967788,N1
SRR2967795,N1
SRR2967802,N1
SRR2967823,N1
SRR2967776,N1
SRR2967781,N1
SRR2967772,N1
SRR2967808,N1
SRR2967816,N1
SRR2967790,NA
SRR2967809,NA
SRR2967635,NA
SRR2967689,AP1
SRR2967794,AP1
SRR2967801,AP1
SRR2967783,AP1
SRR2967820,BP1
SRR2967825,BP1
SRR2967661,BP1
SRR2967733,BP1
SRR2967630,BP1
SRR2967646,BP1
SRR2967710,BP1
SRR2967769,AP1
SRR2967683,AP1
SRR2967742,AP1
SRR2967629,AP1
SRR2967663,AP1
SRR2967743,AP1
SRR2967671,AP1
SRR2967670,AP1
SRR2967757,BP2
SRR2967736,BP2
SRR2967760,BP2
SRR2967611,AP1
SRR2967715,AP1
SRR2967810,AP1
SRR2967778,AP1
SRR2967787,AP1
SRR2967714,AP1
SRR2967621,AP1
SRR2967639,AP1
SRR2967648,AP1
SRR2967627,AP1
SRR2967644,AP1
SRR2967675,AP1
SRR2967666,AP1
SRR2967692,AP1
SRR2967735,AP1
SRR2967640,AP1
SRR2967649,AP1
SRR2967785,AP1
SRR2967657,AP1
SRR2967660,AP1
SRR2967662,AP1
SRR2967724,AP1
SRR2967688,AP1
SRR2967764,AP1
SRR2967722,AP1
SRR2967740,AP1
SRR2967678,AP1
SRR2967761,AP1
SRR2967619,AP1
SRR2967728,AP1
SRR2967677,AP1
SRR2967699,AP2
SRR2967731,AP2
SRR2967746,AP2
SRR2967708,AP2
SRR2967739,AP2
