PC1 cor,PC1 anti,PC2 cor,PC2 anti,PC3 anti,PC4 anti,PC1 rg cor,PC2 rg cor,PC2 rg anti
PAX6,STMN2,YBX1,SOX11,ATP1A2,ANLN,ASPM,ATP1A2,ACLY
TFAP2C,RTN1,AKAP12,MTRNR2L8,ATP1B2,ASPM,AURKB,C1orf61,ACOT7
HES1,MYT1L,GRIK3,MTRNR2L12,CDCA7,AURKA,BUB1,CREB5,ARL4D
GLI3,NEUROD6,FXYD6,UNC5D,DLG2,BIRC5,CCNB2,DOK5,ASCL1
ZFP36L1,NFIB,FTH1,TCF4,CDH6,BUB1,CDC25C,FABP7,ATCAY
HMGB2,GAP43,CDH6,CNR1,DOK5,BUB1B,CDCA8,FAM107A,CADPS
SFRP1,RUNX1T1,TUBB2A,PLXNA2,DPP10,CASC5,CDK1,LIX1,CLVS1
NUSAP1,SOX4,LCORL,PLXNA4,EEPD1,CCNB1,CKAP2,PON2,CORO1C
PON2,BCL11B,CALM2,ZNF608,ETV5,CCNB2,CKAP5,PSAT1,CRB1
CKS2,ZBTB18,TBCB,THBS1,FAM107A,CCNF,DLGAP5,PTPRZ1,ACVR2A
SOX9,LRRC7,DACT1,MEIS2,FAM84B,CDC20,HMGB2,SAT1,DHX29
CDK1,XPR1,DYNLL1,EML6,FAT3,CDCA2,KNSTRN,SEMA5A,ELAVL2
SPC24,SYT1,MPC2,CCND2,FGF12,CDCA3,MELK,SLC1A3,ELAVL4
PHGDH,GRIA2,ATP5J2,PPP1R17,GARNL3,CDCA8,MIS18BP1,SOX9,EOMES
PTTG1,CNTNAP2,EFNA5,EPHA3,GK,SLC26A11,MKI67,SPARC,GABARAPL2
CENPK,DCX,YWHAQ,ROBO2,HES1,CHEK2,NDC80,TYRO3,GLCE
FANCD2,PTPRD,LMO3,DPY19L1,HMGCL,DEPDC1,PBK,PIM1,GPRC5B
ID4,MAPT,ATPIF1,MN1,NPR3,DLGAP5,PTTG1,JMJD7,H3F3A
SLC1A3,ZEB2,SNCA,NHLH1,LIX1,GAS2L3,TPX2,,H3F3B
SOX2,CXADR,ST18,FAM60A,LMO3,C7orf50,UBE2C,,MYCL
ETV5,KIAA1598,YWHAB,SSTR2,LMO7,HIST1H3C,CENPF,,HES6
ZFHX4,KIF5A,WTAP,ENC1,LRP1B,HJURP,HIST1H3C,,HMGB3
AXL,SLC24A2,DAB1,ANTXR2,LRP4,HMMR,TUBB4B,,HMGN2
CREB5,ABRACL,ELMOD1,POU3F2,MEF2C,INCENP,KIF2C,,DLL3
FAM107A,CTTNBP2,LMO7,LEPR,MOB3B,KIF11,,,IGFBPL1
KIAA0101,KIDINS220,CDH7,RNF144A,QKI,KIF15,,,LRRC16A
AURKB,NELL2,BCL11A,PTPN4,NADK2,KIF18A,,,LZTS1
CKAP2L,SERINC5,HNRNPA0,FABP7,NCALD,KIF18B,,,MAP4K4
RRM2,SPTAN1,LRRC1,HES6,NPAS3,KIF20A,,,MFNG
SMC4,MEF2C,POLR2I,APOL4,PAPPA2,KIF20B,,,NEUROD1
CD99,CRMP1,MIF,PPCDC,PRICKLE2,KIF2C,,,NEUROD4
CENPF,SCG5,NRCAM,ACMSD,PHACTR2,KIF4A,,,NEUROD6
MIS18BP1,MLLT11,HINT1,EZR,PLEKHA5,KNSTRN,,,NHLH1
DACH1,SLA,SMIM20,CBFA2T2,PTN,MAD2L1,,,NRP1
LIX1,MLLT3,RTN3,,QKI,NCAPG,,,PFDN2
UBE2C,AMER2,THSD7A,,RBPJ,NDC80,,,PHLDB2
NDC80,RBFOX2,RAB3A,,S1PR1,NINJ1,,,PLXNA2
VIM,SNAP25,MASP1,,SAT1,PBK,,,PRDX1
ANXA5,NRXN1,NPR3,,SEMA5A,PIF1,,,PTPRS
PTN,RBFOX1,LRRTM4,,SMARCA2,PLK1,,,RASGEF1B
PRC1,TBR1,ARL3,,SLC35F2,PSRC1,,,RBP1
MFAP2,TMSB10,CALM1,,FAT3,RACGAP1,,,PGM2L1
DOK5,AKT3,NDFIP1,,SORCS1,SGOL2,,,SCG3
KIF23,DCC,HIST1H4C,,SOX9,SPAG5,,,SLC38A1
MELK,NBEA,PAFAH1B3,,SPARC,TACC3,,,SOX11
BIRC5,TUBB3,CADM2,,TKTL1,TOP2A,,,SOX4
ANP32E,AUTS2,UQCR11,,TOX,TPX2,,,SSTR2
CDCA7L,PDE1A,GPI,,TRIP6,TROAP,,,STMN1
SMC2,TAGLN3,FXYD7,,VEPH1,TTK,,,TAGLN3
HELLS,CDH6,QKI,,ZFP36L1,UBE2C,,,TIMM50
