PC1 cor,PC1 anti,PC2 cor,PC2 anti,PC3 anti,PC2 rg cor,PC1 rg cor,PC4 anti,PC2 rg anti
STMN2,PAX6,QKI,SOX11,HNRNPH1,TOP2A,PTN,ATP1B2,DIPK1A
NFIB,GLI3,DPP10,PPP1R17,FTH1,MKI67,CREB5,RPS19,RPL5
RTN1,ELP4,RPL37A,MMACHC,BEST1,TPX2,PTPRZ1,None,PUS7
MYT1L,TFAP2C,DMD,RASGEF1B,CFL1,KNSTRN,NOTCH2NLC,DOK5,ATP1B2
RUNX1T1,HES1,NCAM1,EZR,MIF-AS1,BUB1B,HMGN3,RBPJ,RPS19
XPR1,SFRP1,LCORL,None,SNX32,IQGAP3,HES1,TPT1-AS1,None
NEUROD6,PANTR1,MAGI2,SYTL3,WTAP,ASPM,SLC1A3,MIR100HG,DOK5
SOX4,FABP7,ARGLU1,PRDX1,YWHAE,None,SAT1,GRIN2B,TAB3
BCL11B,PON2,RPS18,UNC5D,YBX1,NCAPG,PREX2,RPL13A,MIR9-1HG
LRRC7,ZFP36L1,RPL18A,ENSG00000279099,USP9Y,PBK,LIFR,RPLP1,GYPC
MAPT,HMGB2,LMO3,CNR1,RPS4Y1,NDC80,MALAT1,PAPPA2,MIR100HG
GAP43,SLC1A3,TTC12-DT,THBS1,PTBP2,KNL1,TALAM1,RPL41,MRTO4
GRIA2,CREB5,ELMOD1,ZNF608,NNAT,MAD2L1,LINC01965,RPS14,None
CNTNAP2,SOX9,FAT3,IGFBPL1,None,BIRC5,MIR100HG,TNR,EEPD1
ZEB2,ZFHX4,CTNNB1,ENC1,HNRNPA0,UBE2C,VEPH1,RPL3,NBPF26
ZBTB18,CKS2,WSB1,NHSL1,DBN1,PTTG1,SEMA5A,RPS3A,CRHR2
PTPRD,ENSG00000294893,PABPC1,PLXNA4,None,RNF4,SOX9,NBPF26,HMGCS1
SHTN1,PHGDH,SH3D19,PLXNA2,RAN,CCNB1,SAT1-DT,IGDCC4,METAP1D
SYT1,ENSG00000309658,RPL21,EML6,OAZ1,KIF11,ZFP36L1,SOX2,VIM
NRXN1,ENSG00000271860,ENSG00000286648,ENSG00000286648,PSMA7,KIF20B,SOX2-OT,EEF1A1,RPL13
KIDINS220,LINC01965,RPS19,ANTXR2,ENO3,H4C3,NOTCH3,PHACTR2,None
TMSB10,HELLS,MEF2C,NEUROD1,PFN1,ECT2,ETV5,RPL15,RPLP1
SPTAN1,ANP32E,RPL9,ELAVL4,MT-CO2,CCNB2,HMGN3-AS1,IFI44L,ZFP36L1
DCX,SPC24,LMO7,NHLH1,RPL13,None,None,RPS27,LGALS8
MEF2C,DACH1,LSAMP,EZR-AS1,RPS2,CKAP2,NOTCH2NLA,ACP6,MINDY2
RBFOX1,AXL,RPS3A,ACTB,COX7C,PRC1-AS1,TRIM24,PWRN1,CUBN
CXADR,SOX2,LRRC1,TCF4,BRD3,CDK1,AGO3,FGF12,None
SLC24A2,SMC4,FXYD6-AS1,HEBP2,SCAND1,CCNF,FAM107A,RPL13,CREB5
NBEA,ETV5,SNHG6,ENSG00000242540,CCDC124,SPC25,NPAS3,RPS18,PGM2
CACNA1E,None,PEG3,TTC28,BRD3OS,H1-1,None,CHPT1,None
KIF5A,ID4,NCAPG,MN1,TBCB,BUB1,SFRP1,RPS15A,None
BCL11A,PTTG1,CDH6,ARL4D,NDUFB7,PLK1,SREK1,RPL10,ABCC4
NELL2,CDK1,ENSG00000289040,FRMD4B,UBA6,INCENP,DCP2,None,S1PR1
GRIK3,VIM,RPL15,EPHA3,YWHAG,SMC4,NRG1,NEGR1,SOX2
TUBA1A,PTN,LRRTM4,DPY19L1,AP2S1,KIF18B,SLITRK2,GULP1,PRRT3
CTTNBP2,FANCD2,SMARCA2,CCSER1,NDUFB11,HMGB2,PON2,RPL32,RPL3
TTC3,DHDDS-AS1,RPL41,ENSG00000267199,ATXN7L3B,RHNO1,WSB1,S1PR1,None
RBFOX2,NOTCH2NLB,GALNT13,SEMA3C,MT-CO3,AURKA,AKAP12,VCAN,LRRC39
IGFBPL1,TRIM59,EEF1A1,NEUROD6,None,CENPF,DDAH1,KIAA1217,SAT1
TBR1,PRR11,FXYD6,LHX9,DDX3Y,CEP170,ATXN2,RPL5,PPA1
CRMP1,CENPK,PLEKHA5,CORO2B,TRMT61A,ARL6IP1,QKI,SPATA13,CRB2
CDH6,FAM107A,RPS25,NRG1-IT1,DYNLL1,DLGAP5,SEMA6A-AS1,SPARC,FABP7
MSRA,LHX2,GRIK3,DISP3,MEG3,CENPE,TOB1,SAT1,None
MLLT11,HMGN2,DAB1,XIST,RTL8C,SPC24,MIR99AHG,RPL31,RAB33B
PPP3CA,NOTCH2NLC,ANKRD10,TSIX,CTBP1,CDCA3,NBPF26,TOX,RPS3A
ABRACL,MIR9-1HG,RPS27,POU3F2,MARCKS,AURKB,DSTN,NR4A2,XYLT2
SNAP25,MFAP2,PDCD4,PRDM8,CHCHD2,RRM2,NOTCH2NLB,NPY,SIRT5
MLLT3,DOK5,FGF12,EDIL3,POLR2E,TTK,TMEM161B-DT,DIPK1A,FECH
AFDN,CRB2,LRP1B,NPTX1,JSRP1,None,TTYH1,ANGPTL1,None
DCC,BICC1,THAP5,SLC17A6,NDUFS5,UBE2T,None,SH3D19,RPL13A
