sample_id,group
SRR2967629,BP1
SRR2967663,BP1
SRR2967743,BP1
SRR2967630,BP1
SRR2967742,BP1
SRR2967820,BP1
SRR2967783,BP1
SRR2967825,BP1
SRR2967710,BP1
SRR2967646,BP1
SRR2967661,BP1
SRR2967670,BP1
SRR2967801,BP2
SRR2967870,BP2
SRR2967769,BP2
SRR2967733,BP2
SRR2967794,BP2
SRR2967757,BP2
SRR2967671,BP2
SRR2967683,BP2
SRR2967635,AP2
SRR2967689,AP2
SRR2967715,AP2
SRR2967760,AP2
SRR2967739,AP2
SRR2967640,AP2
SRR2967649,AP2
SRR2967708,AP2
SRR2967678,AP2
SRR2967810,AP2
SRR2967648,AP2
SRR2967787,AP2
SRR2967644,AP2
SRR2967675,AP2
SRR2967621,AP2
SRR2967761,AP2
SRR2967619,AP2
SRR2967728,AP2
SRR2967778,AP2
SRR2967611,AP2
SRR2967731,AP2
SRR2967639,AP2
SRR2967699,AP2
SRR2967736,AP2
SRR2967714,AP1
SRR2967740,AP1
SRR2967735,AP1
SRR2967666,AP1
SRR2967692,AP1
SRR2967746,AP1
SRR2967677,AP1
SRR2967627,AP1
SRR2967688,AP1
SRR2967660,AP1
SRR2967657,AP1
SRR2967662,AP1
SRR2967722,AP1
SRR2967785,AP1
SRR2967724,AP1
SRR2967764,AP1
SRR2967826,N3
SRR2967803,N3
SRR2967813,N3
SRR2967711,N3
SRR2967824,N3
SRR2967608,N3
SRR2967609,N3
SRR2967669,N3
SRR2967717,N3
SRR2967687,N3
SRR2967829,N3
SRR2967727,N3
SRR2967753,N3
SRR2967726,N3
SRR2967767,N3
SRR2967636,N3
SRR2967691,N3
SRR2967703,N3
SRR2967653,N3
SRR2967694,N3
SRR2967686,N3
SRR2967771,N3
SRR2967622,N3
SRR2967651,N3
SRR2967758,N3
SRR2967737,N3
SRR2967766,N3
SRR2967747,N3
SRR2967664,N3
SRR2967690,N3
SRR2967697,N3
SRR2967642,N3
SRR2967749,N3
SRR2967716,N3
SRR2967755,N3
SRR2967638,N3
SRR2967658,N3
SRR2967654,N3
SRR2967684,N3
SRR2967720,N3
SRR2967679,N3
SRR2967707,N3
SRR2967668,N3
SRR2967702,N3
SRR2967672,N3
SRR2967745,N3
SRR2967610,N3
SRR2967674,N3
SRR2967791,N2
SRR2967774,N2
SRR2967815,N2
SRR2967821,N2
SRR2967827,N2
SRR2967811,N2
SRR2967831,N2
SRR2967822,N2
SRR2967830,N2
SRR2967775,N2
SRR2967793,N2
SRR2967878,N2
SRR2967784,N2
SRR2967792,N2
SRR2967837,N2
SRR2967797,N2
SRR2967777,N2
SRR2967779,N2
SRR2967659,N2
SRR2967734,N2
SRR2967732,N2
SRR2967741,N2
SRR2967752,N2
SRR2967759,N2
SRR2967738,N2
SRR2967616,N2
SRR2967713,N2
SRR2967631,N2
SRR2967641,N2
SRR2967650,N2
SRR2967712,N2
SRR2967701,N2
SRR2967709,N2
SRR2967612,N2
SRR2967656,N2
SRR2967632,N2
SRR2967676,N2
SRR2967751,N2
SRR2967615,N2
SRR2967721,N2
SRR2967828,N2
SRR2967832,N2
SRR2967680,N1
SRR2967748,N1
SRR2967681,N1
SRR2967763,N1
SRR2967816,N1
SRR2967819,N1
SRR2967799,N1
SRR2967719,N1
SRR2967723,N1
SRR2967718,N1
SRR2967637,N1
SRR2967665,N1
SRR2967634,N1
SRR2967633,N1
SRR2967754,N1
SRR2967762,N1
SRR2967768,N1
SRR2967698,N1
SRR2967647,N1
SRR2967706,N1
SRR2967750,N1
SRR2967730,N1
SRR2967673,N1
SRR2967795,N1
SRR2967620,N1
SRR2967765,N1
SRR2967685,N1
SRR2967744,N1
SRR2967770,N1
SRR2967614,N1
SRR2967705,N1
SRR2967613,N1
SRR2967693,N1
SRR2967652,N1
SRR2967655,N1
SRR2967618,N1
SRR2967626,N1
SRR2967625,N1
SRR2967643,N1
SRR2967700,N1
SRR2967617,N1
SRR2967756,N1
SRR2967624,N1
SRR2967695,N1
SRR2967786,N1
SRR2967800,N1
SRR2967782,N1
SRR2967814,N1
SRR2967789,N1
SRR2967806,N1
SRR2967833,N1
SRR2967818,N1
SRR2967773,N1
SRR2967807,N1
SRR2967623,N1
SRR2967805,N1
SRR2967823,N1
SRR2967772,N1
SRR2967781,N1
SRR2967682,N1
SRR2967809,N1
SRR2967796,N1
SRR2967802,N1
SRR2967776,N1
SRR2967808,N1
SRR2967780,N1
SRR2967804,N1
SRR2967788,N1
SRR2967817,N1
SRR2967790,N1
SRR2967798,N1
SRR2967667,N3
SRR2967729,N3
