PC1 cor,PC1 anti,PC2 cor,PC2 anti,PC3 anti,PC2 rg cor,PC1 rg cor,PC4 anti,PC2 rg anti
ANXA5,ABRACL,AKAP12,ACMSD,ATP1A2,ATP1A2,ASPM,ANLN,ACLY
AURKB,AMER2,ARL6IP5,APOL4,ATP1B2,C1orf61,AURKB,ASPM,ACOT7
AXL,AUTS2,CADM2,ARL4D,CDCA7,CREB5,BUB1,AURKA,ARL4D
BIRC5,BCL11B,CDH6,C1orf61,DLG2,DOK5,CCNB2,BIRC5,ASCL1
CASC5,CDH6,CDH7,CCND2,DMD,FABP7,CDC25C,BUB1,ATCAY
CD99,CNTNAP2,CELF4,CHD7,DOK5,FAM107A,CDCA8,BUB1B,CADPS
CDCA7L,CRMP1,CNTN1,CHRNB4,DPP10,LIX1,CDK1,CASC5,CLVS1
CDK1,CTTNBP2,DAB1,CNR1,EEPD1,PON2,CKAP2,CCNB1,CORO1C
CENPF,CXADR,DACT1,CRB1,ETV5,PSAT1,CKAP5,CCNB2,CRB1
CENPK,DCC,DFNA5,CUX2,FAM107A,PTPRZ1,DLGAP5,CCNF,DCX
CKAP2L,DCX,DPP10,DPY19L1,FAM84B,SAT1,HMGB2,CDC20,DHX29
CKS2,GAP43,EFNA5,EML6,FAT3,SEMA5A,KNSTRN,CDCA2,ELAVL2
CREB5,GPM6A,ELMOD1,ENC1,FGF12,SLC1A3,MELK,CDCA3,ELAVL4
DACH1,GRIA2,FAT3,EPHA3,GARNL3,SOX9,MIS18BP1,CDCA8,EOMES
DOK5,GRIK3,FGF12,EZR,GK,SPARC,MKI67,CENPE,GABARAPL2
ETV5,KIAA1598,FTH1,FABP7,HES1,,NDC80,CHEK2,GLCE
FAM107A,KIDINS220,FXYD6,FOXP2,HMGCL,,PBK,DEPDC1,GPRC5B
FAM64A,KIF5A,GAS7,FRMD4B,KIAA1217,,PTTG1,DLGAP5,H3F3A
FANCD2,LRRC7,GRIK3,HES6,LIX1,,TPX2,GAS2L3,H3F3B
GLI3,MEF2C,GUCY1A3,HUNK,LMO3,,UBE2C,H2AFX,H3F3C
HES1,MLLT11,GUCY1B3,INSM1,LMO7,,,HIST1H3C,HES6
HMGB2,MLLT3,JPH4,LDLRAD4,LRP1B,,,HJURP,HMGB3
ID4,MYT1L,KAZN,LEPR,LRP4,,,HMMR,HMGN2
KIAA0101,NBEA,LCORL,LHX9,MEF2C,,,INCENP,HN1
KIF23,NELL2,LMO3,MEIS2,MOB3B,,,KIF11,IGFBPL1
LIX1,NEUROD6,LMO7,MN1,NAALAD2,,,KIF15,LRRC16A
MELK,NRXN1,LRP1B,NHLH1,NADK2,,,KIF18A,LZTS1
MFAP2,PDE1A,LRRC1,NHSL1,NCALD,,,KIF18B,MAP4K4
MIS18BP1,PHACTR3,LRRTM4,NRP1,NPAS3,,,KIF20A,MFNG
NDC80,PPP3CA,LSAMP,PAG1,PAPPA2,,,KIF20B,NEUROD1
NUSAP1,PTPRD,MEF2C,PGAP1,PDPN,,,KIF2C,NEUROD4
PAX6,RBFOX1,MPC2,PGK1,PHACTR2,,,KIF4A,NEUROD6
PHGDH,RTN1,NBEA,PLXNA2,PLEKHA5,,,KNSTRN,NHLH1
PON2,RUNX1T1,NCAPG,PLXNA4,PTN,,,MAD2L1,NRP1
PRC1,SCG3,NDFIP1,POU3F2,QKI,,,NCAPG,PFDN2
PTN,SERINC5,NIN,PPP1R17,RBPJ,,,NDC80,PHLDB2
PTTG1,SLA,NPR3,PRDX1,S1PR1,,,NEK2,PLXNA2
RRM2,SLC24A2,NRCAM,PTCHD2,SAT1,,,PBK,PRDX1
SFRP1,SNAP25,PDCD4,RASGEF1B,SEMA5A,,,PIF1,PTPRS
SLC1A3,SOX4,PEG3,RND3,SLC1A3,,,PLK1,RASGEF1B
SMC2,SPTAN1,PLXDC2,ROBO2,SLC35F2,,,PSRC1,RBP1
SMC4,STMN2,QKI,SEMA3C,SLN,,,RACGAP1,RND3
SOX2,SYT1,SMARCA2,SORBS2,SORCS1,,,SGOL2,SCG3
SOX9,TAGLN3,SNCA,SSTR2,SOX9,,,SPAG5,SLC38A1
SPC24,TBR1,SPOCK1,ST6GAL2,SPARC,,,TACC3,SOX11
TFAP2C,TMSB10,SSBP2,TCF4,TKTL1,,,TOP2A,SOX4
UBE2C,TUBB3,ST18,THBS1,TOX,,,TPX2,SSTR2
VIM,XPR1,SYN3,UNC5D,TRIP6,,,TROAP,STMN1
ZFHX4,ZBTB18,TBCB,ZNF286B,VEPH1,,,TTK,TAGLN3
ZFP36L1,ZEB2,YBX1,ZNF608,ZFP36L1,,,UBE2C,TIMM50
