Sample	Assigned_Zone	Assigned_CellType	chip
SRR2967608	CP	neuron	Wpc12 Chip1
SRR2967609	CP	neuron	Wpc12 Chip1
SRR2967610	CP	neuron	Wpc12 Chip1
SRR2967611	VZ	aRG	Wpc12 Chip1
SRR2967612	CP	neuron	Wpc12 Chip1
SRR2967613	oSVZ	neuron	Wpc12 Chip1
SRR2967614	CP	neuron	Wpc12 Chip1
SRR2967615	CP	neuron	Wpc12 Chip1
SRR2967616	CP	neuron	Wpc12 Chip1
SRR2967617	CP	neuron	Wpc12 Chip1
SRR2967618	oSVZ	neuron	Wpc12 Chip1
SRR2967619	VZ	aRG	Wpc12 Chip1
SRR2967620	oSVZ	neuron	Wpc12 Chip1
SRR2967621	VZ	aRG	Wpc12 Chip1
SRR2967622	CP	neuron	Wpc12 Chip1
SRR2967623	oSVZ	neuron	Wpc12 Chip1
SRR2967624	oSVZ	neuron	Wpc12 Chip1
SRR2967625	oSVZ	neuron	Wpc12 Chip1
SRR2967626	oSVZ	neuron	Wpc12 Chip1
SRR2967627	VZ	aRG	Wpc12 Chip1
SRR2967629	iSVZ	aRG	Wpc12 Chip1
SRR2967630	VZ	aRG	Wpc12 Chip1
SRR2967631	CP	neuron	Wpc12 Chip1
SRR2967632	CP	neuron	Wpc12 Chip1
SRR2967633	oSVZ	neuron	Wpc12 Chip1
SRR2967634	CP	neuron	Wpc12 Chip1
SRR2967635	iSVZ	neuron	Wpc12 Chip1
SRR2967636	CP	neuron	Wpc12 Chip1
SRR2967637	oSVZ	neuron	Wpc12 Chip1
SRR2967638	CP	neuron	Wpc12 Chip1
SRR2967639	VZ	aRG	Wpc12 Chip1
SRR2967640	VZ	aRG	Wpc12 Chip1
SRR2967641	CP	neuron	Wpc12 Chip1
SRR2967642	CP	neuron	Wpc12 Chip1
SRR2967643	CP	neuron	Wpc12 Chip1
SRR2967644	VZ	aRG	Wpc12 Chip1
SRR2967646	iSVZ	aRG	Wpc12 Chip1
SRR2967647	oSVZ	neuron	Wpc12 Chip1
SRR2967648	VZ	aRG	Wpc12 Chip1
SRR2967649	VZ	aRG	Wpc12 Chip1
SRR2967650	CP	neuron	Wpc12 Chip1
SRR2967651	CP	neuron	Wpc12 Chip1
SRR2967652	CP	neuron	Wpc12 Chip1
SRR2967653	CP	neuron	Wpc12 Chip1
SRR2967654	CP	neuron	Wpc12 Chip1
SRR2967655	oSVZ	neuron	Wpc12 Chip1
SRR2967656	CP	neuron	Wpc12 Chip1
SRR2967657	VZ	aRG	Wpc12 Chip1
SRR2967658	CP	neuron	Wpc12 Chip1
SRR2967659	CP	neuron	Wpc12 Chip1
SRR2967660	VZ	aRG	Wpc12 Chip1
SRR2967661	iSVZ	aRG	Wpc12 Chip1
SRR2967662	VZ	aRG	Wpc12 Chip1
SRR2967663	iSVZ	aRG	Wpc12 Chip1
SRR2967664	CP	neuron	Wpc12 Chip1
SRR2967665	iSVZ	neuron	Wpc12 Chip1
SRR2967666	VZ	aRG	Wpc12 Chip1
SRR2967667	CP	neuron	Wpc12 Chip1
SRR2967668	CP	neuron	Wpc12 Chip1
SRR2967669	CP	neuron	Wpc12 Chip1
SRR2967670	iSVZ	neuron	Wpc12 Chip1
SRR2967671	oSVZ	neuron	Wpc12 Chip1
SRR2967672	CP	neuron	Wpc12 Chip1
SRR2967673	oSVZ	neuron	Wpc12 Chip1
SRR2967674	CP	neuron	Wpc12 Chip1
SRR2967675	VZ	aRG	Wpc12 Chip1
SRR2967676	oSVZ	neuron	Wpc12 Chip1
SRR2967677	VZ	aRG	Wpc12 Chip1
SRR2967678	VZ	aRG	Wpc12 Chip1
SRR2967679	CP	neuron	Wpc12 Chip1
SRR2967680	oSVZ	neuron	Wpc12 Chip1
SRR2967681	CP	neuron	Wpc12 Chip1
SRR2967682	iSVZ	neuron	Wpc12 Chip1
SRR2967683	iSVZ	bRG	Wpc12 Chip1
SRR2967684	CP	neuron	Wpc12 Chip1
SRR2967685	oSVZ	neuron	Wpc12 Chip1
SRR2967686	CP	neuron	Wpc12 Chip1
SRR2967687	CP	neuron	Wpc12 Chip1
SRR2967688	VZ	aRG	Wpc12 Chip1
SRR2967689	oSVZ	neuron	Wpc12 Chip2
SRR2967690	CP	neuron	Wpc12 Chip2
SRR2967691	CP	neuron	Wpc12 Chip2
SRR2967692	VZ	aRG	Wpc12 Chip2
SRR2967693	oSVZ	neuron	Wpc12 Chip2
SRR2967694	CP	neuron	Wpc12 Chip2
SRR2967695	oSVZ	neuron	Wpc12 Chip2
SRR2967697	CP	neuron	Wpc12 Chip2
SRR2967698	oSVZ	neuron	Wpc12 Chip2
SRR2967699	VZ	aRG	Wpc12 Chip2
SRR2967700	oSVZ	neuron	Wpc12 Chip2
SRR2967701	CP	neuron	Wpc12 Chip2
SRR2967702	CP	neuron	Wpc12 Chip2
SRR2967703	CP	neuron	Wpc12 Chip2
SRR2967705	CP	neuron	Wpc12 Chip2
SRR2967706	oSVZ	neuron	Wpc12 Chip2
SRR2967707	CP	neuron	Wpc12 Chip2
SRR2967708	VZ	aRG	Wpc12 Chip2
SRR2967709	CP	neuron	Wpc12 Chip2
SRR2967710	iSVZ	aRG	Wpc12 Chip2
SRR2967711	CP	neuron	Wpc12 Chip2
SRR2967712	CP	neuron	Wpc12 Chip2
SRR2967713	CP	neuron	Wpc12 Chip2
SRR2967714	VZ	aRG	Wpc12 Chip2
SRR2967715	VZ	aRG	Wpc12 Chip2
SRR2967716	CP	neuron	Wpc12 Chip2
SRR2967717	CP	neuron	Wpc12 Chip2
SRR2967718	iSVZ	neuron	Wpc12 Chip2
SRR2967719	iSVZ	neuron	Wpc12 Chip2
SRR2967720	CP	neuron	Wpc12 Chip2
SRR2967721	CP	neuron	Wpc12 Chip2
SRR2967722	VZ	aRG	Wpc12 Chip2
SRR2967723	oSVZ	neuron	Wpc12 Chip2
SRR2967724	VZ	aRG	Wpc12 Chip2
SRR2967726	CP	neuron	Wpc12 Chip2
SRR2967727	CP	neuron	Wpc12 Chip2
SRR2967728	VZ	aRG	Wpc12 Chip2
SRR2967729	CP	neuron	Wpc12 Chip2
SRR2967730	oSVZ	neuron	Wpc12 Chip2
SRR2967731	VZ	aRG	Wpc12 Chip2
SRR2967732	CP	neuron	Wpc12 Chip2
SRR2967733	iSVZ	aRG	Wpc12 Chip2
SRR2967734	oSVZ	neuron	Wpc12 Chip2
SRR2967735	VZ	aRG	Wpc12 Chip2
SRR2967736	VZ	aRG	Wpc12 Chip2
SRR2967737	CP	neuron	Wpc12 Chip2
SRR2967738	CP	neuron	Wpc12 Chip2
SRR2967739	VZ	aRG	Wpc12 Chip2
SRR2967740	VZ	aRG	Wpc12 Chip2
SRR2967741	CP	neuron	Wpc12 Chip2
SRR2967742	iSVZ	aRG	Wpc12 Chip2
SRR2967743	iSVZ	bRG	Wpc12 Chip2
SRR2967744	oSVZ	neuron	Wpc12 Chip2
SRR2967745	CP	neuron	Wpc12 Chip2
SRR2967746	VZ	aRG	Wpc12 Chip2
SRR2967747	CP	neuron	Wpc12 Chip2
SRR2967748	CP	neuron	Wpc12 Chip2
SRR2967749	CP	neuron	Wpc12 Chip2
SRR2967750	oSVZ	neuron	Wpc12 Chip2
SRR2967751	CP	neuron	Wpc12 Chip2
SRR2967752	CP	neuron	Wpc12 Chip2
SRR2967753	CP	neuron	Wpc12 Chip2
SRR2967754	oSVZ	neuron	Wpc12 Chip2
SRR2967755	CP	neuron	Wpc12 Chip2
SRR2967756	oSVZ	neuron	Wpc12 Chip2
SRR2967757	iSVZ	neuron	Wpc12 Chip2
SRR2967758	CP	neuron	Wpc12 Chip2
SRR2967759	CP	neuron	Wpc12 Chip2
SRR2967760	VZ	aRG	Wpc12 Chip2
SRR2967761	VZ	aRG	Wpc12 Chip2
SRR2967762	oSVZ	neuron	Wpc12 Chip2
SRR2967763	CP	neuron	Wpc12 Chip2
SRR2967764	VZ	aRG	Wpc12 Chip2
SRR2967765	oSVZ	neuron	Wpc12 Chip2
SRR2967766	CP	neuron	Wpc12 Chip2
SRR2967767	CP	neuron	Wpc12 Chip2
SRR2967768	oSVZ	neuron	Wpc12 Chip2
SRR2967769	iSVZ	neuron	Wpc12 Chip2
SRR2967770	oSVZ	neuron	Wpc12 Chip2
SRR2967771	CP	neuron	Wpc12 Chip2
SRR2967772	oSVZ	neuron	Wpc13
SRR2967773	iSVZ	neuron	Wpc13
SRR2967774	CP	neuron	Wpc13
SRR2967775	CP	neuron	Wpc13
SRR2967776	oSVZ	neuron	Wpc13
SRR2967777	oSVZ	neuron	Wpc13
SRR2967778	VZ	aRG	Wpc13
SRR2967779	CP	neuron	Wpc13
SRR2967780	oSVZ	neuron	Wpc13
SRR2967781	oSVZ	neuron	Wpc13
SRR2967782	CP	neuron	Wpc13
SRR2967783	iSVZ	aRG	Wpc13
SRR2967784	CP	neuron	Wpc13
SRR2967785	VZ	aRG	Wpc13
SRR2967786	oSVZ	neuron	Wpc13
SRR2967787	VZ	aRG	Wpc13
SRR2967788	oSVZ	neuron	Wpc13
SRR2967789	CP	neuron	Wpc13
SRR2967790	iSVZ	neuron	Wpc13
SRR2967791	CP	neuron	Wpc13
SRR2967792	CP	neuron	Wpc13
SRR2967793	CP	neuron	Wpc13
SRR2967794	iSVZ	aRG	Wpc13
SRR2967795	oSVZ	neuron	Wpc13
SRR2967796	oSVZ	neuron	Wpc13
SRR2967797	CP	neuron	Wpc13
SRR2967798	iSVZ	neuron	Wpc13
SRR2967799	oSVZ	neuron	Wpc13
SRR2967800	oSVZ	neuron	Wpc13
SRR2967801	iSVZ	neuron	Wpc13
SRR2967802	oSVZ	neuron	Wpc13
SRR2967803	CP	neuron	Wpc13
SRR2967804	oSVZ	neuron	Wpc13
SRR2967805	oSVZ	neuron	Wpc13
SRR2967806	oSVZ	neuron	Wpc13
SRR2967807	iSVZ	neuron	Wpc13
SRR2967808	iSVZ	neuron	Wpc13
SRR2967809	iSVZ	neuron	Wpc13
SRR2967810	VZ	aRG	Wpc13
SRR2967811	CP	neuron	Wpc13
SRR2967813	CP	neuron	Wpc13
SRR2967814	oSVZ	neuron	Wpc13
SRR2967815	CP	neuron	Wpc13
SRR2967816	oSVZ	neuron	Wpc13
SRR2967817	oSVZ	neuron	Wpc13
SRR2967818	oSVZ	neuron	Wpc13
SRR2967819	oSVZ	neuron	Wpc13
SRR2967820	iSVZ	bRG	Wpc13
SRR2967821	CP	neuron	Wpc13
SRR2967822	CP	neuron	Wpc13
SRR2967823	oSVZ	neuron	Wpc13
SRR2967824	CP	neuron	Wpc13
SRR2967825	iSVZ	bRG	Wpc13
SRR2967826	CP	neuron	Wpc13
SRR2967827	CP	neuron	Wpc13
SRR2967828	oSVZ	neuron	Wpc13
SRR2967829	CP	neuron	Wpc13
SRR2967830	CP	neuron	Wpc13
SRR2967831	CP	neuron	Wpc13
SRR2967832	CP	neuron	Wpc13
SRR2967833	oSVZ	neuron	Wpc13
