"SRR","paper_id","type","stage","chip"
"SRR2967100","whOrg1_B12_hOrg33d_c2","organoid","33d","chip2"
"SRR2967101","whOrg1_B1_hOrg33d_c2","organoid","33d","chip2"
"SRR2967102","whOrg1_B6_hOrg33d_c2","organoid","33d","chip2"
"SRR2967103","whOrg1_B7_hOrg33d_c2","organoid","33d","chip2"
"SRR2967104","whOrg1_C10_hOrg33d_c2","organoid","33d","chip2"
"SRR2967105","whOrg1_C11_hOrg33d_c2","organoid","33d","chip2"
"SRR2967106","whOrg1_C8_hOrg33d_c2","organoid","33d","chip2"
"SRR2967107","whOrg1_D2_hOrg33d_c2","organoid","33d","chip2"
"SRR2967108","whOrg1_F1_hOrg33d_c2","organoid","33d","chip2"
"SRR2967109","whOrg1_F6_hOrg33d_c2","organoid","33d","chip2"
"SRR2967110","whOrg1_G10_hOrg33d_c1","organoid","33d","chip1"
"SRR2967111","whOrg1_G11_hOrg33d_c1","organoid","33d","chip1"
"SRR2967112","whOrg1_G12_hOrg33d_c1","organoid","33d","chip1"
"SRR2967113","whOrg1_G1_hOrg33d_c1","organoid","33d","chip1"
"SRR2967114","whOrg1_G2_hOrg33d_c1","organoid","33d","chip1"
"SRR2967115","whOrg1_G3_hOrg33d_c1","organoid","33d","chip1"
"SRR2967116","whOrg1_G4_hOrg33d_c1","organoid","33d","chip1"
"SRR2967117","whOrg1_G5_hOrg33d_c1","organoid","33d","chip1"
"SRR2967118","whOrg1_G6_hOrg33d_c1","organoid","33d","chip1"
"SRR2967119","whOrg1_G6_hOrg33d_c2","organoid","33d","chip2"
"SRR2967120","whOrg1_G7_hOrg33d_c1","organoid","33d","chip1"
"SRR2967121","whOrg1_G7_hOrg33d_c2","organoid","33d","chip2"
"SRR2967122","whOrg1_G8_hOrg33d_c1","organoid","33d","chip1"
"SRR2967123","whOrg1_G8_hOrg33d_c2","organoid","33d","chip2"
"SRR2967124","whOrg1_G9_hOrg33d_c1","organoid","33d","chip1"
"SRR2967125","whOrg1_H10_hOrg33d_c1","organoid","33d","chip1"
"SRR2967126","whOrg1_H11_hOrg33d_c1","organoid","33d","chip1"
"SRR2967127","whOrg1_H12_hOrg33d_c1","organoid","33d","chip1"
"SRR2967128","whOrg1_H1_hOrg33d_c1","organoid","33d","chip1"
"SRR2967129","whOrg1_H1_hOrg33d_c2","organoid","33d","chip2"
"SRR2967130","whOrg1_H2_hOrg33d_c1","organoid","33d","chip1"
"SRR2967131","whOrg1_H2_hOrg33d_c2","organoid","33d","chip2"
"SRR2967132","whOrg1_H3_hOrg33d_c1","organoid","33d","chip1"
"SRR2967133","whOrg1_H4_hOrg33d_c1","organoid","33d","chip1"
"SRR2967134","whOrg1_H5_hOrg33d_c1","organoid","33d","chip1"
"SRR2967135","whOrg1_H6_hOrg33d_c1","organoid","33d","chip1"
"SRR2967136","whOrg1_H6_hOrg33d_c2","organoid","33d","chip2"
"SRR2967137","whOrg1_H7_hOrg33d_c1","organoid","33d","chip1"
"SRR2967138","whOrg1_H8_hOrg33d_c1","organoid","33d","chip1"
"SRR2967139","whOrg1_H9_hOrg33d_c1","organoid","33d","chip1"
"SRR2967140","whOrg2_A10_hOrg35d","organoid",NA,NA
"SRR2967141","whOrg2_A11_hOrg35d","organoid",NA,NA
"SRR2967142","whOrg2_A1_hOrg35d","organoid",NA,NA
"SRR2967143","whOrg2_A2_hOrg35d","organoid",NA,NA
"SRR2967144","whOrg2_A3_hOrg35d","organoid",NA,NA
"SRR2967145","whOrg2_A4_hOrg35d","organoid",NA,NA
"SRR2967146","whOrg2_A5_hOrg35d","organoid",NA,NA
"SRR2967147","whOrg2_A6_hOrg35d","organoid",NA,NA
"SRR2967148","whOrg2_A7_hOrg35d","organoid",NA,NA
"SRR2967149","whOrg2_A8_hOrg35d","organoid",NA,NA
"SRR2967150","whOrg2_A9_hOrg35d","organoid",NA,NA
"SRR2967151","whOrg2_B10_hOrg35d","organoid",NA,NA
"SRR2967152","whOrg2_B11_hOrg35d","organoid",NA,NA
"SRR2967153","whOrg2_B12_hOrg35d","organoid",NA,NA
"SRR2967154","whOrg2_B1_hOrg35d","organoid",NA,NA
"SRR2967155","whOrg2_B2_hOrg35d","organoid",NA,NA
"SRR2967156","whOrg2_B3_hOrg35d","organoid",NA,NA
"SRR2967157","whOrg2_B4_hOrg35d","organoid",NA,NA
"SRR2967158","whOrg2_B5_hOrg35d","organoid",NA,NA
"SRR2967159","whOrg2_B6_hOrg35d","organoid",NA,NA
"SRR2967160","whOrg2_B7_hOrg35d","organoid",NA,NA
"SRR2967161","whOrg2_B8_hOrg35d","organoid",NA,NA
"SRR2967162","whOrg2_B9_hOrg35d","organoid",NA,NA
"SRR2967163","whOrg2_C10_hOrg35d","organoid",NA,NA
"SRR2967164","whOrg2_C11_hOrg35d","organoid",NA,NA
"SRR2967165","whOrg2_C12_hOrg35d","organoid",NA,NA
"SRR2967166","whOrg2_C1_hOrg35d","organoid",NA,NA
"SRR2967167","whOrg2_C2_hOrg35d","organoid",NA,NA
"SRR2967168","whOrg2_C3_hOrg35d","organoid",NA,NA
"SRR2967169","whOrg2_C5_hOrg35d","organoid",NA,NA
"SRR2967170","whOrg2_C6_hOrg35d","organoid",NA,NA
"SRR2967171","whOrg2_C7_hOrg35d","organoid",NA,NA
"SRR2967172","whOrg2_C8_hOrg35d","organoid",NA,NA
"SRR2967173","whOrg2_C9_hOrg35d","organoid",NA,NA
"SRR2967174","whOrg2_D11_hOrg35d","organoid",NA,NA
"SRR2967175","whOrg2_D12_hOrg35d","organoid",NA,NA
"SRR2967176","whOrg2_D1_hOrg35d","organoid",NA,NA
"SRR2967177","whOrg2_D2_hOrg35d","organoid",NA,NA
"SRR2967178","whOrg2_D3_hOrg35d","organoid",NA,NA
"SRR2967179","whOrg2_D4_hOrg35d","organoid",NA,NA
"SRR2967180","whOrg2_D5_hOrg35d","organoid",NA,NA
"SRR2967181","whOrg2_D6_hOrg35d","organoid",NA,NA
"SRR2967182","whOrg2_D7_hOrg35d","organoid",NA,NA
"SRR2967183","whOrg2_D8_hOrg35d","organoid",NA,NA
"SRR2967184","whOrg2_D9_hOrg35d","organoid",NA,NA
"SRR2967185","whOrg2_E10_hOrg35d","organoid",NA,NA
"SRR2967186","whOrg2_E11_hOrg35d","organoid",NA,NA
"SRR2967187","whOrg2_E12_hOrg35d","organoid",NA,NA
"SRR2967188","whOrg2_E1_hOrg35d","organoid",NA,NA
"SRR2967189","whOrg2_E2_hOrg35d","organoid",NA,NA
"SRR2967190","whOrg2_E3_hOrg35d","organoid",NA,NA
"SRR2967191","whOrg2_E4_hOrg35d","organoid",NA,NA
