"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.80676553444154e-05,6.23491383513505,0.411,0.248,1,"0","SEPN1"
6.93912750692477e-56,5.97168636246714,0.518,0.032,1.31336866323565e-51,"0","LIN28A"
9.73590084450946e-22,5.04241884155955,0.255,0.027,1.84271395284031e-17,"0","CNPY1"
4.88052121997012e-45,4.05197534846321,0.433,0.027,9.23736251303744e-41,"0","SIX3"
2.67610740097308e-33,4.03439651521903,0.376,0.037,5.06506847782174e-29,"0","GSTZ1"
1.01252940979281e-26,3.93749591121776,0.319,0.034,1.91641441391485e-22,"0","STRIP2"
1.18855715188103e-13,3.61715783380903,0.262,0.062,2.24958212136522e-09,"0","GPX3"
7.98043726611167e-68,3.60141172278374,0.617,0.035,1.51045736135696e-63,"0","TRIM71"
5.64979474293068e-39,3.58474184105364,0.426,0.037,1.06933665099449e-34,"0","ANKRD18B"
2.4219843374782e-14,3.54386610902279,0.298,0.074,4.58408975554498e-10,"0","MGAT4A"
7.12101257606887e-22,4.00463717806613,0.523,0.148,1.34779405027255e-17,"1","CA12"
9.61175533413971e-23,3.95671874193206,0.579,0.177,1.81921693209262e-18,"1","DOK5"
3.75832586117182e-15,3.88801941468263,0.308,0.064,7.1133833574399e-11,"1","IL33"
2.49965941236091e-11,3.79259708117313,0.467,0.187,4.7311053697755e-07,"1","MEGF10"
3.03802064352445e-15,3.7809108669029,0.299,0.059,5.75006167199872e-11,"1","HOPX"
1.10947441452645e-05,3.7728200495958,0.252,0.108,0.209990222437422,"1","ACRV1"
8.8978187685012e-10,3.77164059785116,0.393,0.159,1.68409015831422e-05,"1","FAM107A"
2.30061957533048e-27,3.71456061692302,0.841,0.424,4.354382670228e-23,"1","SLC1A3"
7.42620299970591e-14,3.57160381208284,0.29,0.062,1.40555744175434e-09,"1","FZD8"
3.2636637269658e-06,3.47646406322327,0.252,0.104,0.0617713633602817,"1","TKTL1"
4.03800926465191e-64,5.82261260868564,0.73,0.077,7.64274013520667e-60,"2","GRIK3"
2.57887091331875e-30,5.40645189342698,0.3,0.017,4.88102897763841e-26,"2","KLHL1"
1.71401491657072e-49,5.12541100200394,0.45,0.021,3.24411603259341e-45,"2","NPR3"
4.41596956815648e-43,4.71608749816819,0.5,0.044,8.35810560164977e-39,"2","KIAA0319"
6.94446086189295e-34,4.44947721112059,0.44,0.047,1.31437810733048e-29,"2","GPR12"
0.00346970992252473,4.43091963772094,0.27,0.161,1,"2","GRK4"
1.88747891113327e-18,4.38308063074786,0.28,0.039,3.57243133510193e-14,"2","CLSTN2"
3.77339865611464e-21,4.3807160099812,0.34,0.05,7.14191163642817e-17,"2","DDX3Y"
1.26031439254124e-44,4.24630149566255,0.52,0.049,2.3853970507628e-40,"2","ELMOD1"
4.01393095110654e-34,4.23335349439619,0.66,0.145,7.59716711115935e-30,"2","MSRA"
9.1226321787255e-05,4.60937434303051,0.396,0.24,1,"3","PAG1"
3.269294282112e-13,4.50602251695961,0.302,0.071,6.18779328775339e-09,"3","PLXNA4"
3.23362867576467e-13,4.40653315440196,0.323,0.082,6.1202889946198e-09,"3","NHLH1"
1.65490839003742e-10,4.30276930470971,0.302,0.085,3.13224510982382e-06,"3","PALMD"
0.00118373800744574,3.96007852405237,0.26,0.139,1,"3","ANTXR2"
1.53710824941207e-22,3.93984657161716,0.781,0.414,2.90928478366223e-18,"3","RASGEF1B"
0.000130365178182471,3.92500173017464,0.115,0.31,1,"3","MLST8"
4.25692888686834e-27,3.90825635028807,0.521,0.11,8.05708930417571e-23,"3","PPP1R17"
2.91791884299742e-17,3.69569655616011,0.469,0.136,5.52274499414122e-13,"3","EML6"
6.47829145335851e-19,3.69070180032448,0.469,0.125,1.22614622337716e-14,"3","CNR1"
7.58492039519992e-09,5.22921932371275,0.267,0.078,0.000143559788319949,"4","TRPM3"
3.55896168740727e-12,5.17514888596122,0.311,0.081,6.73604678575574e-08,"4","RSPO2"
4.08144272611157e-25,5.07574290670865,0.278,0.02,7.72494664771137e-21,"4","DRC1"
4.44812395737203e-17,4.71124104231139,0.311,0.054,8.41896421411805e-13,"4","PIFO"
1.42607114303359e-10,4.4487579307206,0.256,0.059,2.69912485241968e-06,"4","SPAG1"
1.07332667200178e-10,4.37261744686201,0.278,0.07,2.03148539209777e-06,"4","KCNJ2"
1.71976709062928e-05,4.33370708917995,0.278,0.123,0.325500317243403,"4","CA2"
9.45697553486352e-10,3.79100587529512,0.333,0.112,1.78992175948362e-05,"4","RSPO3"
1.11449906209649e-12,3.77419439179393,0.278,0.057,2.10941237483003e-08,"4","PLA2G16"
6.28276900371324e-12,3.57978126809924,0.256,0.053,1.18913968933281e-07,"4","DNAH7"
6.50855176365414e-39,5.97940905692852,0.541,0.056,1.23187359230682e-34,"5","SAPCD2"
2.14325612458119e-22,4.32789115409112,0.514,0.103,4.05654086699481e-18,"5","ESPL1"
3.58140767270284e-20,4.30200675360937,0.338,0.045,6.77853030212467e-16,"5","HIST1H3C"
4.49025997276378e-23,4.25299629375574,0.5,0.094,8.49871505045002e-19,"5","PIF1"
3.15152310421429e-17,4.05845316032108,0.446,0.103,5.96488777934638e-13,"5","APOLD1"
7.96499844723785e-22,3.92257878391808,0.568,0.135,1.50753525610871e-17,"5","INCENP"
4.49004135458927e-10,3.9096261830096,0.351,0.098,8.49830127183111e-06,"5","CEP55"
2.3422023953233e-33,3.87397126805563,0.811,0.211,4.43308647362841e-29,"5","GTSE1"
6.1215752701784e-38,3.79810546202675,0.878,0.236,1.15863055138667e-33,"5","CDCA3"
1.13230958921473e-32,3.78564831428292,0.743,0.171,2.14312235950671e-28,"5","PSRC1"
3.34557291152063e-14,6.4712334043435,0.31,0.057,6.3321658496351e-10,"6","RELN"
7.95688288885951e-07,5.80438542843428,0.268,0.086,0.0150599922437444,"6","ADCY5"
1.26803413741268e-17,5.76980357834153,0.296,0.039,2.40000821188099e-13,"6","EBF3"
4.32185665904538e-25,5.57535996723778,0.338,0.032,8.17997809857518e-21,"6","MGAT4C"
5.27634917435764e-16,4.70844656227423,0.366,0.072,9.98654608230671e-12,"6","SLC17A6"
4.78252286253046e-20,4.21744132214679,0.38,0.057,9.05188102191141e-16,"6","DMTN"
1.47675928723326e-18,4.07855628503543,0.408,0.074,2.7950623029464e-14,"6","SCG2"
2.8596089174996e-16,4.06473547970906,0.31,0.047,5.4123817981515e-12,"6","MAB21L1"
1.82760133510058e-06,3.73319176421201,0.408,0.178,0.0345910104694486,"6","KIAA1107"
3.89553264554949e-12,3.70578388219301,0.507,0.205,7.37307463823153e-08,"6","ATP6V1G2"
2.20281321593259e-51,16.9978807448933,0.345,0.001,4.1692645737956e-47,"7","DKK2"
4.0396227755563e-40,16.0529898679603,0.273,0.001,7.64579402729541e-36,"7","FMOD"
6.86001322295414e-60,15.6596289306174,0.382,0,1.29839470270853e-55,"7","HAND2"
8.44419317306459e-113,13.7732501736423,1,0.04,1.59823244186594e-108,"7","COL3A1"
1.98293780743158e-109,12.9126942026709,0.818,0.013,3.75310638812576e-105,"7","POSTN"
9.42148083981669e-46,12.7949545374593,0.291,0,1.7832036785521e-41,"7","TBX3"
8.50307041427398e-78,12.5203459810874,1,0.103,1.60937613730964e-73,"7","DCN"
3.96405725789675e-116,12.4357430471722,0.836,0.01,7.50277117202118e-112,"7","COL6A3"
6.03809512032406e-43,11.9828252103183,0.273,0,1.14283026342373e-38,"7","GATA6"
7.67880620613174e-35,11.5435852008423,0.255,0.003,1.45336765063455e-30,"7","KCNE4"
