Cell	paper_id	stage	chip	Zone	CellType
SRR2967608	fetal1_A10_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967609	fetal1_A11_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967610	fetal1_A12_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967611	fetal1_A1_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967612	fetal1_A2_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967613	fetal1_A3_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967614	fetal1_A4_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967615	fetal1_A5_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967616	fetal1_A6_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967617	fetal1_A7_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967618	fetal1_A8_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967619	fetal1_A9_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967620	fetal1_B10_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967621	fetal1_B11_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967622	fetal1_B12_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967623	fetal1_B1_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967624	fetal1_B2_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967625	fetal1_B3_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967626	fetal1_B4_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967627	fetal1_B5_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967629	fetal1_B7_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967630	fetal1_C10_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967631	fetal1_C12_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967632	fetal1_C1_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967633	fetal1_C2_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967634	fetal1_C3_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967635	fetal1_C4_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967636	fetal1_C6_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967637	fetal1_C9_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967638	fetal1_D10_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967639	fetal1_D11_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967640	fetal1_D12_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967641	fetal1_D1_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967642	fetal1_D2_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967643	fetal1_D4_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967644	fetal1_D5_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967646	fetal1_D7_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967647	fetal1_D8_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967648	fetal1_D9_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967649	fetal1_E10_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967650	fetal1_E12_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967651	fetal1_E1_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967652	fetal1_E3_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967653	fetal1_E5_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967654	fetal1_E6_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967655	fetal1_E7_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967656	fetal1_E8_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967657	fetal1_E9_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967659	fetal1_F11_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967660	fetal1_F12_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967661	fetal1_F1_fetal_12wpc_c1	12 wpc	chip1	iSVZ	BP
SRR2967662	fetal1_F2_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967663	fetal1_F3_fetal_12wpc_c1	12 wpc	chip1	iSVZ	BP
SRR2967664	fetal1_F4_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967665	fetal1_F7_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967666	fetal1_F8_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967667	fetal1_F9_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967668	fetal1_G10_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967669	fetal1_G11_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967670	fetal1_G12_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967671	fetal1_G1_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967672	fetal1_G2_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967673	fetal1_G3_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967674	fetal1_G4_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967675	fetal1_G5_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967676	fetal1_G6_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967677	fetal1_G7_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967678	fetal1_G8_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967679	fetal1_G9_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967680	fetal1_H10_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967681	fetal1_H11_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967682	fetal1_H12_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967683	fetal1_H2_fetal_12wpc_c1	12 wpc	chip1	iSVZ	BP
SRR2967684	fetal1_H3_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967685	fetal1_H5_fetal_12wpc_c1	12 wpc	chip1	oSVZ	Neuron
SRR2967686	fetal1_H6_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967687	fetal1_H7_fetal_12wpc_c1	12 wpc	chip1	CP	Neuron
SRR2967688	fetal1_H8_fetal_12wpc_c1	12 wpc	chip1	VZ	AP
SRR2967689	fetal2_A10_fetal_12wpc_c2	12 wpc	chip2	VZ	AP
SRR2967690	fetal2_A11_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967691	fetal2_A12_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967692	fetal2_A1_fetal_12wpc_c2	12 wpc	chip2	VZ	AP
SRR2967693	fetal2_A2_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967694	fetal2_A3_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967695	fetal2_A4_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967697	fetal2_A6_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967698	fetal2_A7_fetal_12wpc_c2	12 wpc	chip2	oSVZ	Neuron
SRR2967699	fetal2_A8_fetal_12wpc_c2	12 wpc	chip2	VZ	AP
SRR2967700	fetal2_A9_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967701	fetal2_B10_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967702	fetal2_B11_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967703	fetal2_B1_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967705	fetal2_B3_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967706	fetal2_B5_fetal_12wpc_c2	12 wpc	chip2	oSVZ	Neuron
SRR2967707	fetal2_B6_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
SRR2967708	fetal2_B7_fetal_12wpc_c2	12 wpc	chip2	VZ	AP
SRR2967709	fetal2_B8_fetal_12wpc_c2	12 wpc	chip2	CP	Neuron
